scheme,setting,model,accuracy,macro_f1,mean_ordinal_error,within_one_level_accuracy,severe_error_rate,gate_050_human_loop_rate,gate_050_accepted_severe_error_rate,gate_050_severe_error_caught_rate
binary,within_dataset_figshare,linear_svm_balanced,0.91,0.9099639855942376,0.09,1.0,0.0,0.555,0.0,0.0
binary,within_dataset_moocradar,linear_svm_balanced,0.775,0.7740453415681253,0.225,1.0,0.0,0.595,0.0,0.0
binary,figshare_to_moocradar,linear_svm_balanced,0.502,0.3837823390533511,0.498,1.0,0.0,0.982,0.0,0.0
binary,moocradar_to_figshare,linear_svm_balanced,0.49,0.462549160944396,0.51,1.0,0.0,0.836,0.0,0.0
ternary,within_dataset_figshare,linear_svm_balanced,0.78,0.7794220544276375,0.27666666666666667,0.9433333333333334,0.056666666666666664,0.6166666666666667,0.017391304347826087,0.8823529411764706
ternary,within_dataset_moocradar,linear_svm_balanced,0.7338129496402878,0.7328651359585713,0.36330935251798563,0.9028776978417267,0.09712230215827339,0.6366906474820144,0.019801980198019802,0.9259259259259259
ternary,figshare_to_moocradar,logreg_balanced,0.4064748201438849,0.3018090404019165,0.8762589928057554,0.7172661870503597,0.2827338129496403,0.9964028776978417,0.0,1.0
ternary,moocradar_to_figshare,ordinal_threshold,0.4053333333333333,0.34806188085816947,0.6686666666666666,0.926,0.074,1.0,0.0,1.0
