scheme,setting,model,accuracy,macro_f1,mean_ordinal_error,within_one_level_accuracy,severe_error_rate,gate_050_human_loop_rate,gate_050_accepted_severe_error_rate,gate_050_severe_error_caught_rate
binary,within_dataset_figshare,linear_svm_balanced,0.9155844155844156,0.9066400683955542,0.08441558441558442,1.0,0.0,0.39826839826839827,0.0,0.0
binary,within_dataset_moocradar,logreg_balanced,0.7655954631379962,0.759383161663292,0.23440453686200377,1.0,0.0,0.7277882797731569,0.0,0.0
binary,figshare_to_moocradar,linear_svm_balanced,0.5601361573373677,0.37862971955232644,0.4398638426626324,1.0,0.0,0.9258698940998488,0.0,0.0
binary,moocradar_to_figshare,linear_svm_balanced,0.47119965352966653,0.47117426107508126,0.5288003464703335,1.0,0.0,0.9307059333044608,0.0,0.0
ternary,within_dataset_figshare,logreg_balanced,0.8733905579399142,0.8582222222222223,0.16738197424892703,0.9592274678111588,0.0407725321888412,0.43991416309012876,0.0038314176245210726,0.9473684210526315
ternary,within_dataset_moocradar,logreg_balanced,0.7433628318584071,0.6980794841896988,0.31710914454277284,0.93952802359882,0.06047197640117994,0.4056047197640118,0.022332506203473945,0.7804878048780488
ternary,figshare_to_moocradar,linear_svm_balanced,0.4584070796460177,0.24824739946980448,0.659882005899705,0.8817109144542773,0.11828908554572272,0.9858407079646018,0.0625,0.9925187032418953
ternary,moocradar_to_figshare,linear_svm_balanced,0.31201716738197427,0.2606702341322638,0.7527896995708154,0.9351931330472103,0.0648068669527897,0.9459227467811159,0.0,1.0
