Model,Evaluation split,accuracy,macro_f1,weighted_f1,cohen_kappa,quadratic_weighted_kappa,ece,mean_ordinal_distance,within_one_level_accuracy,severe_error_rate
TF-IDF + LinearSVC,train→test (Figshare),0.7514,0.7253,0.753,0.6802,0.7471,,0.4743,0.8829,0.0657
Qwen2.5 zero-shot (GGUF),15% hold-out,0.4406,0.3691,0.4239,0.0,0.2444,,1.0739,0.686,0.314
"Qwen2.5-1.5B LoRA (merged, fp32)",Official test,0.84,0.8308,0.8394,0.7936,0.8803,0.0495,0.28,0.92,0.0343
"Qwen2.5-0.5B LoRA (merged, fp32)",Official test,0.8314,0.8252,0.8324,0.7835,0.8794,0.0488,0.2886,0.92,0.0371
